Survived,Age,SibSp,Parch,Fare,class_2,class_3,male,embark_Q,embark_S,title_Miss,title_Mr,title_Mrs,title_Other
1,28.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,,0,0,8.11,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,4.0,0,2,81.86,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,13.0,0,1,19.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,34.0,0,0,26.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,5.0,2,1,19.26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,52.0,0,0,30.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,36.0,1,2,27.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,1,0,19.97,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,30.0,0,0,27.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,49.0,1,0,89.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,29.0,0,0,7.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,65.0,0,0,26.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,,1,0,51.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,50.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,,0,0,7.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,48.0,0,0,26.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,34.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,47.0,0,0,38.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,48.0,0,0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,38.0,0,0,7.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,56.0,0,0,26.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,7.72,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.75,2,1,19.26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,,0,0,7.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,38.0,0,0,8.66,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,33.0,1,2,27.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,23.0,0,0,13.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,22.0,0,0,9.84,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,,0,0,52.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,34.0,1,0,21.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,29.0,1,0,7.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,22.0,0,0,7.52,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,2.0,0,1,12.29,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,9.0,5,2,46.9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,50.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,63.0,0,0,9.59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,25.0,1,0,91.08,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,,3,1,25.47,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,35.0,1,0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,58.0,0,0,29.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,30.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,9.0,1,1,15.9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,,1,0,19.97,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,21.0,0,0,7.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,55.0,0,0,30.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,71.0,0,0,49.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,21.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,14.46,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,54.0,1,0,78.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,,0,0,15.1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,25.0,1,2,151.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,24.0,0,0,7.8,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,17.0,0,0,8.66,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,21.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,,0,0,7.63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,37.0,0,0,9.59,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,16.0,0,0,86.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,18.0,1,0,108.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,33.0,0,2,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,,0,0,26.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,28.0,0,0,22.52,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,26.0,0,0,56.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,29.0,0,0,7.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0,,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,36.0,0,0,26.29,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,54.0,1,0,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,24.0,0,0,7.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,47.0,0,0,34.02,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,34.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,0,0,24.15,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,36.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,32.0,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,30.0,0,0,93.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,22.0,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,7.22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,44.0,0,1,57.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,,0,0,7.23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,40.5,0,0,7.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,50.0,0,0,10.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,,0,0,221.78,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,39.0,0,0,7.92,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,23.0,2,1,11.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,2.0,1,1,26.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,,0,0,7.23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,17.0,1,1,7.23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,,0,2,22.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,30.0,0,0,8.66,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,7.0,0,2,26.25,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,45.0,0,0,26.55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,30.0,0,0,106.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,,0,0,14.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,22.0,0,2,49.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,36.0,0,2,71.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,9.0,4,2,31.27,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,11.0,4,2,31.27,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,32.0,1,0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,50.0,1,0,106.42,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,64.0,0,0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,19.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,,0,0,13.86,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,33.0,1,1,20.52,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,8.0,1,1,36.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,17.0,0,2,110.88,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,27.0,0,0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,7.83,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,22.0,0,0,7.22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,22.0,0,0,7.78,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,62.0,0,0,26.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,48.0,1,0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,,0,0,227.53,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,39.0,1,1,79.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,36.0,1,0,17.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,0,0,7.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0,40.0,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,28.0,0,0,13.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,8.05,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,24.0,2,0,24.15,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,19.0,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,29.0,0,4,21.07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,0,0,7.23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,32.0,0,0,7.85,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,62.0,0,0,10.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,53.0,2,0,51.48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,36.0,0,0,26.39,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,,0,0,7.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,16.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,19.0,0,0,14.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,34.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,39.0,1,0,55.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,1,0,14.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,32.0,0,0,7.92,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,25.0,1,1,30.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,39.0,1,1,110.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,54.0,0,0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,36.0,0,0,40.13,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,,0,0,8.71,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,18.0,0,2,79.65,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,47.0,0,0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,60.0,1,1,79.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,22.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,35.0,0,0,7.13,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,52.0,1,0,78.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,47.0,0,0,7.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,2,7.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,37.0,1,0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,36.0,1,1,24.15,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,,0,0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,49.0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,7.22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,49.0,1,0,56.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,24.0,2,1,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,42.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,44.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,35.0,0,0,26.55,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,36.0,1,0,15.55,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,30.0,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,27.0,0,0,30.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,22.0,1,2,41.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,40.0,0,0,153.46,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,39.0,1,5,31.27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,0,0,7.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,,1,0,15.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,,0,0,7.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0,35.0,0,0,8.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,24.0,1,2,65.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,34.0,1,1,14.4,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,26.0,1,0,16.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,4.0,2,1,39.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,26.0,0,0,10.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,27.0,1,0,14.45,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,42.0,1,0,52.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,20.0,1,1,15.74,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,21.0,0,0,7.85,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,21.0,0,0,16.1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,61.0,0,0,32.32,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,57.0,0,0,12.35,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1,21.0,0,0,77.96,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,26.0,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,7.73,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,80.0,0,0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,51.0,0,0,7.05,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,32.0,0,0,30.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,9.0,3,2,27.9,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,28.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,32.0,0,0,7.92,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,31.0,1,1,26.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,41.0,0,5,39.69,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,,1,0,16.1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,20.0,0,0,7.85,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,24.0,0,0,69.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2.0,3,2,27.9,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,,0,0,56.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0.75,2,1,19.26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,48.0,1,0,76.73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,19.0,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,56.0,0,0,35.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,,0,0,7.55,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,23.0,0,0,7.55,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,18.0,0,1,23.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,21.0,0,0,8.43,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,,0,0,7.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,18.0,0,0,6.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,24.0,2,0,73.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,,0,0,7.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,32.0,1,1,15.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,23.0,0,0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,58.0,0,2,113.28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,50.0,2,0,133.65,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,40.0,0,0,7.22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,47.0,0,0,25.59,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,36.0,0,0,7.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,20.0,1,0,7.92,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,32.0,2,0,73.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
